gender,age,experience,education,salary_offered,hired,department
male,24,1,Masters,48609,0,Management
male,42,15,Masters,91977,1,Engineering
male,27,1,Masters,47147,0,Engineering
female,24,1,Masters,51720,1,Management
female,28,6,Bachelor,60144,1,Sales
male,46,18,PhD,109959,1,Research
male,40,14,Masters,92024,1,Engineering
male,49,25,Bachelor,116791,1,Sales
female,50,28,PhD,139688,1,Management
male,31,7,PhD,74738,1,Sales
male,49,26,Masters,127423,1,Sales
female,31,6,PhD,68772,0,Research
female,44,21,Bachelor,100492,1,Sales
male,31,3,PhD,59046,1,Engineering
female,38,15,Masters,89049,1,Management
female,40,14,Masters,92182,1,Sales
female,38,16,Masters,94849,1,Research
female,42,18,Bachelor,98943,1,Research
female,31,6,Bachelor,62745,1,Management
male,26,4,PhD,65314,1,Sales
female,43,18,PhD,111491,1,Management
male,36,14,Bachelor,86774,1,Research
female,39,14,Bachelor,82643,1,Sales
female,29,2,Bachelor,50588,0,Sales
male,34,12,Bachelor,80890,1,Research
male,44,14,Masters,92403,1,Research
male,26,1,Masters,54754,1,Sales
male,41,13,Masters,84108,1,Engineering
male,28,1,Bachelor,45517,0,Engineering
male,43,15,PhD,103589,1,Engineering
male,34,4,Masters,62403,0,Engineering
female,41,16,Masters,93431,1,Research
female,41,14,Bachelor,79410,1,Management
male,32,3,Bachelor,44180,0,Sales
male,41,16,PhD,105037,1,Sales
male,32,8,Bachelor,64209,0,Engineering
female,33,4,Bachelor,47259,1,Engineering
female,31,3,Masters,59343,1,Research
female,45,22,Masters,114667,1,Research
male,32,5,Bachelor,59016,1,Sales
male,45,15,Masters,89617,1,Sales
female,39,11,Bachelor,72032,1,Sales
female,25,1,PhD,58286,1,Engineering
female,44,14,Bachelor,77050,1,Sales
male,29,1,Bachelor,43748,0,Engineering
female,26,2,Masters,56574,0,Research
female,50,28,Masters,132468,1,Engineering
male,32,8,PhD,75030,1,Management
female,34,4,Bachelor,52090,1,Research
male,44,16,Bachelor,86680,1,Engineering
female,48,23,PhD,119339,1,Management
male,25,1,Masters,54154,1,Sales
female,28,6,Masters,65995,1,Engineering
female,29,3,PhD,64807,1,Research
female,48,21,Bachelor,107777,1,Research
male,29,7,Bachelor,63197,1,Management
male,43,13,PhD,92139,1,Management
female,40,10,Bachelor,70632,1,Management
male,27,3,Bachelor,48557,0,Sales
female,26,3,PhD,64668,0,Research
male,35,13,Masters,82423,1,Management
male,28,1,PhD,62428,1,Engineering
male,32,9,Masters,71970,1,Engineering
female,30,7,Masters,73175,1,Management
male,47,23,PhD,127518,1,Engineering
male,38,16,Masters,95001,0,Management
female,46,22,Masters,114743,1,Engineering
male,47,21,Bachelor,102497,1,Engineering
male,44,20,Masters,104979,1,Engineering
female,27,5,Masters,61717,1,Sales
female,44,17,Bachelor,91311,0,Engineering
female,42,20,Bachelor,97129,1,Research
male,37,8,PhD,77123,0,Management
male,25,1,Bachelor,45507,0,Sales
female,50,25,Bachelor,114057,0,Management
female,32,5,Masters,67378,1,Management
male,30,7,Bachelor,64407,0,Management
male,35,10,PhD,83202,1,Research
male,38,13,Masters,84374,1,Engineering
male,50,21,Bachelor,106318,1,Research
male,42,18,Masters,99391,1,Research
female,47,24,PhD,130454,1,Research
female,34,11,Masters,81531,1,Sales
female,35,5,Masters,64320,1,Sales
female,48,21,PhD,113902,1,Management
male,46,20,Bachelor,100435,1,Management
female,45,21,Masters,111920,1,Research
male,38,9,Bachelor,69293,0,Management
male,48,22,PhD,119329,0,Management
male,48,21,PhD,121120,0,Management
male,50,27,Masters,129820,1,Sales
female,46,24,Masters,119620,1,Management
female,47,21,PhD,118902,1,Research
female,27,1,Bachelor,39637,1,Management
female,40,15,PhD,102610,1,Research
female,33,3,PhD,65029,1,Engineering
male,48,25,Bachelor,115527,1,Research
female,29,4,Masters,60159,0,Engineering
female,45,15,Masters,89801,1,Sales
male,40,11,Bachelor,72179,1,Research
female,38,12,PhD,95796,1,Sales
male,28,3,PhD,61576,1,Management
female,49,25,Bachelor,113175,1,Engineering
male,32,10,Bachelor,69490,1,Sales
male,44,16,Bachelor,89259,1,Research
male,44,15,PhD,99097,1,Management
male,46,20,PhD,113689,1,Sales
female,32,7,Bachelor,60305,1,Research
female,44,21,PhD,119880,1,Management
female,41,13,PhD,96012,1,Sales
male,29,3,Masters,60937,1,Sales
male,26,1,PhD,58425,0,Sales
male,34,4,Masters,56956,0,Engineering
male,24,1,PhD,62536,0,Engineering
male,26,2,Masters,56688,1,Engineering
male,28,1,Masters,51796,0,Sales
male,26,1,Masters,53509,0,Research
female,36,8,PhD,74808,0,Research
female,36,12,Masters,80147,1,Management
female,29,1,PhD,60086,1,Research
female,30,1,Bachelor,42414,0,Sales
female,24,2,Bachelor,46477,0,Management
male,33,11,Masters,83649,1,Management
female,29,6,Bachelor,58593,0,Sales
female,50,25,Masters,126076,1,Management
male,48,22,Masters,113140,0,Management
male,25,1,PhD,56508,0,Sales
male,33,7,Masters,69945,1,Engineering
female,38,13,Bachelor,83101,1,Sales
female,32,4,Masters,56965,1,Management
male,27,2,Bachelor,46219,1,Management
male,44,16,PhD,98889,1,Research
female,38,9,PhD,86792,1,Research
male,33,5,PhD,73754,1,Engineering
female,47,23,Masters,117456,1,Research
male,33,3,PhD,59106,1,Research
female,42,12,Masters,83418,1,Engineering
male,46,19,Bachelor,94500,1,Management
female,26,1,PhD,55658,0,Engineering
female,35,10,PhD,86549,1,Sales
male,38,15,Masters,89790,0,Research
male,42,16,Masters,96230,1,Research
male,32,10,Bachelor,66309,1,Research
female,24,1,Masters,50736,0,Management
female,46,24,Bachelor,108058,0,Management
male,44,15,Bachelor,85435,1,Research
female,32,7,PhD,71840,1,Sales
male,50,22,Masters,115322,0,Management
male,35,10,PhD,84266,1,Research
female,30,7,Bachelor,65302,1,Engineering
male,25,1,Masters,47856,0,Engineering
female,36,7,Bachelor,65885,1,Sales
female,50,20,Bachelor,103965,1,Research
male,48,19,Masters,107086,1,Sales
female,40,10,Bachelor,74826,0,Engineering
female,34,5,PhD,65392,0,Research
female,47,25,Masters,124657,1,Research
female,27,1,PhD,55218,0,Management
female,27,1,Bachelor,40350,0,Management
male,29,1,Bachelor,40439,1,Management
female,41,17,PhD,104701,1,Research
male,24,1,Bachelor,43696,0,Management
female,44,14,Bachelor,81139,1,Management
male,47,21,PhD,119151,1,Sales
female,33,7,Masters,69217,1,Sales
female,41,15,Bachelor,89158,1,Management
male,39,9,PhD,86339,1,Research
male,30,6,PhD,70475,1,Sales
female,26,3,Bachelor,51305,0,Sales
male,26,3,PhD,64908,1,Research
female,49,19,Masters,101736,1,Management
female,42,19,PhD,110142,1,Engineering
female,45,20,PhD,112596,1,Sales
female,31,5,Masters,58150,1,Research
male,36,6,PhD,70902,1,Research
male,48,22,Masters,113368,1,Sales
female,44,16,PhD,102727,0,Research
female,37,14,Masters,86068,1,Engineering
female,24,1,PhD,61904,1,Engineering
female,44,21,Bachelor,103467,1,Management
male,42,17,PhD,106209,1,Sales
male,32,9,PhD,78103,0,Research
male,49,19,PhD,108584,1,Engineering
female,27,1,PhD,54414,0,Management
female,32,9,Bachelor,62950,0,Management
female,26,3,PhD,64647,1,Research
female,27,1,Masters,53700,0,Management
female,35,5,Bachelor,55444,1,Research
female,49,23,Masters,121075,1,Engineering
female,38,10,PhD,86449,1,Sales
female,42,18,PhD,104381,1,Research
male,26,1,Masters,53780,1,Research
male,32,9,Masters,77103,1,Research
male,24,1,Masters,54793,1,Research
male,44,16,PhD,104560,1,Engineering
female,41,14,PhD,97624,0,Sales
female,50,23,Masters,121520,1,Sales
female,34,8,PhD,76012,0,Management
male,47,24,PhD,129013,1,Management
female,36,11,Bachelor,75714,0,Sales
male,31,7,Bachelor,64201,1,Research
male,30,1,Bachelor,44851,0,Engineering
female,38,13,PhD,90104,1,Research
male,27,1,PhD,61725,1,Engineering
male,47,24,Bachelor,113586,1,Sales
female,32,2,Masters,56870,1,Research
female,43,15,PhD,96569,1,Sales
male,33,7,PhD,78687,1,Research
female,25,2,PhD,63945,0,Sales
male,41,17,Bachelor,86317,1,Management
female,35,12,PhD,92328,1,Sales
female,49,19,Bachelor,95706,1,Management
male,43,16,Masters,95658,1,Sales
male,42,19,PhD,108890,1,Engineering
female,28,1,PhD,59036,1,Research
male,41,18,Bachelor,91825,1,Management
female,49,22,PhD,121463,0,Engineering
male,26,2,PhD,58707,1,Research
female,24,1,Bachelor,42386,1,Sales
male,24,1,Masters,54574,0,Sales
male,27,1,PhD,58326,0,Research
male,38,13,PhD,91132,1,Research
male,39,9,Bachelor,71363,1,Sales
female,40,15,Masters,89112,1,Sales
female,44,20,PhD,113568,1,Research
male,42,15,Bachelor,82851,1,Engineering
male,29,1,PhD,60554,0,Engineering
female,38,13,Bachelor,81292,0,Sales
female,36,8,PhD,81635,1,Management
female,27,4,Bachelor,55340,1,Sales
female,29,1,Bachelor,38345,1,Research
female,42,16,PhD,102339,0,Research
female,39,9,Bachelor,69201,1,Research
male,34,6,Bachelor,54548,1,Management
female,37,7,Bachelor,65738,1,Research
female,34,9,Bachelor,62736,1,Research
female,38,8,Bachelor,63291,1,Sales
female,46,21,Masters,110877,1,Sales
female,41,12,Bachelor,78922,0,Management
female,40,14,PhD,97100,0,Research
female,49,25,PhD,125168,1,Research
female,26,1,Masters,51574,0,Engineering
female,48,26,Bachelor,119275,1,Sales
female,36,12,Masters,87985,1,Engineering
male,34,5,PhD,70122,0,Sales
female,49,26,PhD,131910,1,Research
female,41,11,PhD,83491,1,Research
female,35,8,PhD,75383,1,Sales
male,37,11,Bachelor,70549,1,Sales
female,44,18,PhD,109500,1,Management
female,49,19,Masters,100124,1,Engineering
male,50,26,Masters,121088,1,Sales
female,33,8,Bachelor,62659,1,Management
male,50,28,Bachelor,121189,1,Engineering
male,29,7,Masters,72126,1,Research
male,37,10,PhD,82305,1,Management
female,45,23,PhD,123680,1,Sales
female,33,6,PhD,75570,1,Management
male,34,10,Bachelor,71766,1,Sales
female,25,1,Bachelor,44622,1,Research
male,37,7,Masters,68832,1,Engineering
female,39,11,Bachelor,72991,1,Research
female,37,15,Bachelor,81163,0,Research
male,38,9,PhD,82465,1,Engineering
male,44,19,Bachelor,92644,1,Sales
female,35,7,Masters,69371,1,Research
female,48,23,PhD,122745,1,Research
female,40,11,Bachelor,73127,1,Sales
male,26,1,PhD,59267,1,Research
male,25,1,Bachelor,47167,1,Research
male,50,23,PhD,119844,1,Research
female,47,21,Bachelor,106074,1,Management
male,32,8,Bachelor,66636,1,Engineering
male,50,25,Bachelor,110355,1,Engineering
female,30,1,PhD,54052,1,Sales
female,32,10,Bachelor,74887,1,Management
male,37,11,Bachelor,70635,1,Sales
male,49,20,PhD,111613,1,Research
female,34,10,Masters,73321,0,Sales
male,30,5,Bachelor,59181,0,Sales
male,50,24,PhD,123077,1,Research
female,41,11,Masters,76971,1,Sales
female,24,1,Masters,55640,1,Management
female,34,4,Masters,55076,1,Sales
male,42,16,Bachelor,85456,1,Sales
female,27,1,Masters,46131,0,Management
male,46,21,Masters,110537,1,Research
female,38,10,PhD,89886,1,Sales
male,46,17,Bachelor,92388,1,Sales
male,30,5,Bachelor,55740,0,Research
male,33,8,PhD,74820,1,Management
female,44,20,Masters,112675,1,Management
female,27,1,PhD,55478,0,Sales
female,49,25,Bachelor,113792,1,Research
male,36,13,Bachelor,80387,1,Engineering
male,25,1,Masters,46783,1,Research
female,34,4,PhD,66918,0,Engineering
male,46,18,Bachelor,89292,1,Management
female,32,10,Masters,80956,1,Research
female,30,5,Masters,67254,1,Sales
male,30,1,Masters,47326,1,Sales
male,37,14,Bachelor,83131,1,Research
male,41,17,Masters,99306,1,Engineering
male,30,4,Masters,63586,1,Sales
male,25,1,Masters,49028,1,Sales
female,27,3,Masters,56969,0,Sales
male,44,17,Masters,98503,0,Sales
female,24,2,Bachelor,45147,1,Management
female,40,11,Bachelor,76459,1,Management
male,32,9,Masters,71387,1,Engineering
female,48,22,Masters,115912,1,Engineering
male,42,19,PhD,115095,1,Research
male,40,14,Bachelor,86972,1,Research
female,36,9,PhD,81997,1,Research
male,36,12,Bachelor,78971,1,Management
male,50,27,Masters,133515,1,Research
female,31,9,Masters,71204,0,Research
male,32,2,PhD,64947,0,Sales
female,38,16,Masters,100844,1,Research
female,33,11,Masters,80333,1,Management
male,50,26,Masters,127205,1,Sales
female,33,8,Masters,76032,1,Sales
female,44,17,PhD,102216,1,Management
male,31,3,Masters,53352,1,Research
female,30,2,PhD,60681,1,Sales
male,25,1,PhD,54154,0,Management
female,32,6,Masters,67996,0,Research
female,26,1,Masters,54387,1,Engineering
male,42,16,Masters,100069,1,Sales
female,45,22,Masters,112654,1,Sales
female,41,12,Bachelor,73786,1,Management
male,38,11,Masters,85064,0,Engineering
male,27,1,Bachelor,40534,0,Research
male,33,7,Masters,64828,1,Management
male,28,2,Bachelor,50452,0,Sales
male,24,1,Masters,55225,1,Management
female,31,8,PhD,75535,1,Management
male,48,18,Masters,99163,1,Management
male,44,18,Masters,99232,1,Sales
male,46,16,Masters,94045,1,Engineering
female,49,21,Masters,114978,1,Research
female,31,8,Masters,67500,1,Research
female,25,1,PhD,53489,1,Management
male,40,12,PhD,88225,0,Management
male,30,5,Masters,63980,0,Management
male,48,23,PhD,122190,1,Sales
female,44,15,Masters,88195,1,Research
female,45,16,Bachelor,89730,1,Sales
male,41,12,Bachelor,75726,0,Management
male,38,8,Bachelor,66371,1,Engineering
male,37,14,Bachelor,85829,1,Sales
female,46,21,PhD,117895,1,Research
female,45,16,PhD,101830,1,Engineering
female,35,8,Masters,67040,1,Management
male,35,5,PhD,73269,1,Sales
male,31,4,Bachelor,53065,0,Management
male,27,1,PhD,62298,1,Engineering
male,30,3,Masters,60192,1,Management
male,42,16,Masters,100866,1,Sales
male,46,20,PhD,112493,1,Engineering
female,48,20,Bachelor,96452,0,Sales
female,35,7,Masters,69162,1,Management
female,50,25,Bachelor,119504,1,Sales
female,39,11,PhD,92362,1,Management
male,46,16,Masters,95654,1,Research
male,47,21,Bachelor,103037,0,Research
female,24,1,Bachelor,46604,0,Research
male,48,18,Masters,98213,1,Sales
female,38,16,Masters,100364,1,Research
female,49,24,PhD,127802,1,Management
male,33,6,PhD,75403,0,Research
male,32,5,PhD,68458,0,Engineering
male,29,6,Bachelor,58264,1,Engineering
female,40,10,PhD,87300,1,Engineering
female,42,14,Bachelor,77409,1,Management
male,37,12,PhD,90709,1,Engineering
male,45,18,Masters,103461,1,Management
female,28,1,PhD,56234,1,Sales
male,33,11,Masters,77082,1,Management
male,34,4,Bachelor,56844,1,Engineering
male,41,13,PhD,96876,1,Research
male,28,1,PhD,55127,0,Sales
male,41,16,Masters,100532,0,Engineering
male,50,24,Masters,120512,0,Engineering
male,46,20,PhD,111366,1,Management
male,25,1,Bachelor,41915,1,Research
male,31,9,Bachelor,66825,1,Engineering
female,42,13,Masters,91267,1,Engineering
male,49,27,PhD,140102,0,Engineering
female,41,14,Masters,89279,0,Engineering
male,26,3,Bachelor,45552,1,Engineering
male,45,18,Bachelor,92191,1,Research
female,38,8,Masters,68572,0,Management
female,40,12,Masters,80915,0,Sales
female,29,6,Masters,63971,1,Management
male,40,13,Masters,84430,0,Sales
female,48,20,PhD,119333,1,Engineering
male,27,1,PhD,57127,0,Management
female,34,9,Masters,72655,1,Research
male,46,17,PhD,108561,1,Management
male,43,19,Masters,109793,1,Research
female,45,16,PhD,100466,1,Sales
male,31,6,Bachelor,61458,1,Sales
male,50,24,Masters,120164,1,Sales
female,50,23,Bachelor,107967,1,Sales
female,45,21,PhD,114269,1,Engineering
male,39,12,Masters,88892,1,Research
female,41,12,Bachelor,73329,0,Management
female,28,5,Masters,59342,1,Research
female,26,1,PhD,53685,0,Management
male,34,11,Masters,82891,1,Engineering
female,41,14,Masters,88589,0,Research
male,27,1,PhD,53549,1,Sales
female,25,1,Masters,54561,0,Research
male,36,10,Bachelor,67636,1,Engineering
female,36,14,Bachelor,81240,1,Management
male,46,20,Masters,110501,1,Sales
male,48,25,Bachelor,113484,1,Research
female,46,21,PhD,113302,1,Sales
female,38,16,Bachelor,90527,1,Research
female,31,4,PhD,71718,1,Management
female,38,13,PhD,97467,1,Management
female,45,23,Masters,114535,1,Management
female,49,21,PhD,118324,1,Sales
female,28,5,Masters,58362,1,Engineering
male,40,12,PhD,86287,1,Management
female,48,25,PhD,128729,1,Engineering
female,44,21,PhD,122380,1,Engineering
female,25,1,PhD,56974,1,Research
male,36,14,PhD,99237,1,Research
male,28,1,PhD,58896,0,Management
female,25,1,PhD,61616,0,Research
female,36,8,PhD,77809,0,Management
male,32,5,Masters,62140,0,Management
male,40,18,Masters,99766,1,Research
female,48,23,Bachelor,106800,1,Management
female,31,2,Masters,56138,1,Management
male,38,16,PhD,107998,1,Research
female,30,6,PhD,71522,1,Engineering
male,25,1,Bachelor,45341,1,Engineering
male,48,21,Masters,106522,1,Sales
male,39,10,Masters,81717,1,Research
female,37,13,Masters,84921,1,Engineering
female,50,20,Masters,107025,1,Engineering
female,32,6,Masters,69546,1,Management
male,31,8,Bachelor,62795,1,Research
female,43,20,PhD,112930,1,Research
female,44,19,Masters,108998,1,Management
female,34,10,Bachelor,72201,1,Management
female,49,25,PhD,127816,1,Management
male,34,5,PhD,69439,1,Sales
male,40,11,Masters,76524,1,Management
female,34,4,PhD,67644,1,Engineering
female,27,1,PhD,59071,1,Sales
male,30,4,PhD,70353,0,Management
male,49,21,Bachelor,98658,1,Research
female,35,9,Bachelor,65031,1,Engineering
male,47,22,PhD,116388,1,Engineering
male,27,1,Masters,49971,1,Management
female,31,5,Masters,62399,0,Management
female,34,11,Masters,81232,1,Management
female,37,9,Masters,78316,0,Research
female,50,27,Bachelor,119997,0,Research
female,24,1,Masters,55898,0,Sales
male,37,8,Masters,73411,0,Engineering
male,34,4,Masters,61831,1,Management
female,27,1,Bachelor,40494,1,Research
female,35,7,Bachelor,61681,0,Management
male,25,1,PhD,53341,0,Research
male,31,3,PhD,60258,0,Engineering
female,40,10,PhD,87028,0,Research
male,32,2,Bachelor,48530,0,Management
female,32,6,Bachelor,57050,1,Engineering
female,28,1,Bachelor,39872,0,Engineering
male,32,9,PhD,84264,1,Engineering
female,50,21,Bachelor,105841,1,Management
male,44,20,Bachelor,99450,1,Sales
male,45,17,PhD,109416,1,Research
female,28,6,Bachelor,58194,0,Management
